"lag","cost","nu","gamma","corr_pred"
5,256,0.5,256,0.177892150064184
1,1024,0.1,256,0.185812239499345
2,1024,0.1,256,0.185812239499345
3,1024,0.1,256,0.185812239499345
4,1024,0.1,256,0.185812239499345
5,1024,0.1,256,0.185812239499345
1,4,0.1,4096,0.186308546948126
2,4,0.1,4096,0.186308546948126
3,4,0.1,4096,0.186308546948126
4,4,0.1,4096,0.186308546948126
5,4,0.1,4096,0.186308546948126
1,1024,0.9,4096,0.190169759420365
2,1024,0.9,4096,0.190169759420365
3,1024,0.9,4096,0.190169759420365
4,1024,0.9,4096,0.190169759420365
5,1024,0.9,4096,0.190169759420365
1,256,0.9,4096,0.190181553624908
2,256,0.9,4096,0.190181553624908
3,256,0.9,4096,0.190181553624908
4,256,0.9,4096,0.190181553624908
5,256,0.9,4096,0.190181553624908
1,4096,0.5,4096,0.19019604540874
2,4096,0.5,4096,0.19019604540874
3,4096,0.5,4096,0.19019604540874
4,4096,0.5,4096,0.19019604540874
5,4096,0.5,4096,0.19019604540874
1,4096,0.9,4096,0.190202315189486
2,4096,0.9,4096,0.190202315189486
3,4096,0.9,4096,0.190202315189486
4,4096,0.9,4096,0.190202315189486
5,4096,0.9,4096,0.190202315189486
1,1024,0.5,4096,0.190203726722543
2,1024,0.5,4096,0.190203726722543
3,1024,0.5,4096,0.190203726722543
4,1024,0.5,4096,0.190203726722543
5,1024,0.5,4096,0.190203726722543
1,256,0.5,4096,0.190204322248667
2,256,0.5,4096,0.190204322248667
3,256,0.5,4096,0.190204322248667
4,256,0.5,4096,0.190204322248667
5,256,0.5,4096,0.190204322248667
1,1024,0.1,4096,0.190216615513108
2,1024,0.1,4096,0.190216615513108
3,1024,0.1,4096,0.190216615513108
4,1024,0.1,4096,0.190216615513108
5,1024,0.1,4096,0.190216615513108
1,256,0.1,4096,0.190220154064715
2,256,0.1,4096,0.190220154064715
3,256,0.1,4096,0.190220154064715
4,256,0.1,4096,0.190220154064715
5,256,0.1,4096,0.190220154064715
1,4096,0.1,4096,0.190230030891841
2,4096,0.1,4096,0.190230030891841
3,4096,0.1,4096,0.190230030891841
4,4096,0.1,4096,0.190230030891841
