"lag","cost","nu","gamma","corr_pred"
4,64,0.8,0.125,0.62932913086882
5,64,0.8,0.125,0.62932913086882
1,32,0.6,0.0625,0.629179586276879
2,32,0.6,0.0625,0.629179586276879
3,32,0.6,0.0625,0.629179586276879
4,32,0.6,0.0625,0.629179586276879
5,32,0.6,0.0625,0.629179586276879
1,16,0.5,0.0625,0.629075919682792
2,16,0.5,0.0625,0.629075919682792
3,16,0.5,0.0625,0.629075919682792
4,16,0.5,0.0625,0.629075919682792
5,16,0.5,0.0625,0.629075919682792
1,16,0.6,0.0625,0.629069991550772
2,16,0.6,0.0625,0.629069991550772
3,16,0.6,0.0625,0.629069991550772
4,16,0.6,0.0625,0.629069991550772
5,16,0.6,0.0625,0.629069991550772
1,8,0.8,0.125,0.629024290305091
2,8,0.8,0.125,0.629024290305091
3,8,0.8,0.125,0.629024290305091
4,8,0.8,0.125,0.629024290305091
5,8,0.8,0.125,0.629024290305091
1,1024,0.6,0.0625,0.628622783047546
2,1024,0.6,0.0625,0.628622783047546
3,1024,0.6,0.0625,0.628622783047546
4,1024,0.6,0.0625,0.628622783047546
5,1024,0.6,0.0625,0.628622783047546
1,8,0.6,0.125,0.62838889620059
2,8,0.6,0.125,0.62838889620059
3,8,0.6,0.125,0.62838889620059
4,8,0.6,0.125,0.62838889620059
5,8,0.6,0.125,0.62838889620059
1,64,0.4,0.0625,0.628217698585782
2,64,0.4,0.0625,0.628217698585782
3,64,0.4,0.0625,0.628217698585782
4,64,0.4,0.0625,0.628217698585782
5,64,0.4,0.0625,0.628217698585782
1,64,0.7,0.125,0.627706969933938
2,64,0.7,0.125,0.627706969933938
3,64,0.7,0.125,0.627706969933938
4,64,0.7,0.125,0.627706969933938
5,64,0.7,0.125,0.627706969933938
1,4096,0.5,0.0625,0.627694350945327
2,4096,0.5,0.0625,0.627694350945327
3,4096,0.5,0.0625,0.627694350945327
4,4096,0.5,0.0625,0.627694350945327
5,4096,0.5,0.0625,0.627694350945327
1,32,0.5,0.0625,0.627513378101281
2,32,0.5,0.0625,0.627513378101281
3,32,0.5,0.0625,0.627513378101281
4,32,0.5,0.0625,0.627513378101281
5,32,0.5,0.0625,0.627513378101281
1,16,0.5,0.125,0.627493646233601
2,16,0.5,0.125,0.627493646233601
3,16,0.5,0.125,0.627493646233601
4,16,0.5,0.125,0.627493646233601
5,16,0.5,0.125,0.627493646233601
1,64,0.5,0.0625,0.627360439493707
2,64,0.5,0.0625,0.627360439493707
3,64,0.5,0.0625,0.627360439493707
4,64,0.5,0.0625,0.627360439493707
5,64,0.5,0.0625,0.627360439493707
1,32,0.4,0.0625,0.627313491670512
2,32,0.4,0.0625,0.627313491670512
3,32,0.4,0.0625,0.627313491670512
4,32,0.4,0.0625,0.627313491670512
5,32,0.4,0.0625,0.627313491670512
1,8,0.9,0.125,0.627060959627352
2,8,0.9,0.125,0.627060959627352
3,8,0.9,0.125,0.627060959627352
4,8,0.9,0.125,0.627060959627352
5,8,0.9,0.125,0.627060959627352
1,64,0.6,0.125,0.626733942103972
2,64,0.6,0.125,0.626733942103972
