"lag","cost","nu","gamma","corr_pred"
1,4096,0.8,0.25,0.186938309275423
2,4096,0.8,0.25,0.186938309275423
3,4096,0.8,0.25,0.186938309275423
4,4096,0.8,0.25,0.186938309275423
5,4096,0.8,0.25,0.186938309275423
1,4096,0.7,0.125,0.183200562647156
2,4096,0.7,0.125,0.183200562647156
3,4096,0.7,0.125,0.183200562647156
4,4096,0.7,0.125,0.183200562647156
5,4096,0.7,0.125,0.183200562647156
1,4096,0.9,0.125,0.181178180069499
2,4096,0.9,0.125,0.181178180069499
3,4096,0.9,0.125,0.181178180069499
4,4096,0.9,0.125,0.181178180069499
5,4096,0.9,0.125,0.181178180069499
1,4096,0.8,0.125,0.178040257832201
2,4096,0.8,0.125,0.178040257832201
3,4096,0.8,0.125,0.178040257832201
4,4096,0.8,0.125,0.178040257832201
5,4096,0.8,0.125,0.178040257832201
1,128,0.8,0.25,0.177322605586318
2,128,0.8,0.25,0.177322605586318
3,128,0.8,0.25,0.177322605586318
4,128,0.8,0.25,0.177322605586318
5,128,0.8,0.25,0.177322605586318
1,0.0625,0.1,256,0.175833680265301
2,0.0625,0.1,256,0.175833680265301
3,0.0625,0.1,256,0.175833680265301
4,0.0625,0.1,256,0.175833680265301
5,0.0625,0.1,256,0.175833680265301
1,64,0.3,0.0625,0.17579455579632
2,64,0.3,0.0625,0.17579455579632
3,64,0.3,0.0625,0.17579455579632
4,64,0.3,0.0625,0.17579455579632
5,64,0.3,0.0625,0.17579455579632
1,128,0.3,0.0625,0.175519895146355
2,128,0.3,0.0625,0.175519895146355
3,128,0.3,0.0625,0.175519895146355
4,128,0.3,0.0625,0.175519895146355
5,128,0.3,0.0625,0.175519895146355
1,2048,0.9,0.25,0.174091524627963
2,2048,0.9,0.25,0.174091524627963
3,2048,0.9,0.25,0.174091524627963
4,2048,0.9,0.25,0.174091524627963
5,2048,0.9,0.25,0.174091524627963
1,2048,0.8,0.25,0.173948580535019
2,2048,0.8,0.25,0.173948580535019
3,2048,0.8,0.25,0.173948580535019
4,2048,0.8,0.25,0.173948580535019
5,2048,0.8,0.25,0.173948580535019
1,64,0.8,0.25,0.173211635552145
2,64,0.8,0.25,0.173211635552145
3,64,0.8,0.25,0.173211635552145
4,64,0.8,0.25,0.173211635552145
5,64,0.8,0.25,0.173211635552145
1,256,0.7,0.25,0.172573955518076
2,256,0.7,0.25,0.172573955518076
3,256,0.7,0.25,0.172573955518076
4,256,0.7,0.25,0.172573955518076
5,256,0.7,0.25,0.172573955518076
1,256,0.3,0.0625,0.172351267456639
2,256,0.3,0.0625,0.172351267456639
3,256,0.3,0.0625,0.172351267456639
4,256,0.3,0.0625,0.172351267456639
5,256,0.3,0.0625,0.172351267456639
1,256,0.9,0.25,0.172073053865316
2,256,0.9,0.25,0.172073053865316
3,256,0.9,0.25,0.172073053865316
4,256,0.9,0.25,0.172073053865316
5,256,0.9,0.25,0.172073053865316
1,256,0.8,0.25,0.171976970183951
2,256,0.8,0.25,0.171976970183951
3,256,0.8,0.25,0.171976970183951
4,256,0.8,0.25,0.171976970183951
5,256,0.8,0.25,0.171976970183951
1,128,0.9,0.25,0.171232169523426
2,128,0.9,0.25,0.171232169523426
3,128,0.9,0.25,0.171232169523426
4,128,0.9,0.25,0.171232169523426
5,128,0.9,0.25,0.171232169523426
1,256,0.2,0.0625,0.171088913211433
2,256,0.2,0.0625,0.171088913211433
3,256,0.2,0.0625,0.171088913211433
4,256,0.2,0.0625,0.171088913211433
5,256,0.2,0.0625,0.171088913211433
1,0.125,0.1,256,0.171015619185421
2,0.125,0.1,256,0.171015619185421
3,0.125,0.1,256,0.171015619185421
4,0.125,0.1,256,0.171015619185421
5,0.125,0.1,256,0.171015619185421
1,0.0625,0.1,128,0.1707874256206
2,0.0625,0.1,128,0.1707874256206
3,0.0625,0.1,128,0.1707874256206
4,0.0625,0.1,128,0.1707874256206
5,0.0625,0.1,128,0.1707874256206
1,512,0.9,0.25,0.170729635271719
2,512,0.9,0.25,0.170729635271719
3,512,0.9,0.25,0.170729635271719
4,512,0.9,0.25,0.170729635271719
5,512,0.9,0.25,0.170729635271719
1,512,0.7,0.25,0.170271722995575
2,512,0.7,0.25,0.170271722995575
3,512,0.7,0.25,0.170271722995575
4,512,0.7,0.25,0.170271722995575
5,512,0.7,0.25,0.170271722995575
1,512,0.2,0.0625,0.169725116136926
2,512,0.2,0.0625,0.169725116136926
3,512,0.2,0.0625,0.169725116136926
4,512,0.2,0.0625,0.169725116136926
5,512,0.2,0.0625,0.169725116136926
1,512,0.3,0.0625,0.169520127403644
2,512,0.3,0.0625,0.169520127403644
3,512,0.3,0.0625,0.169520127403644
4,512,0.3,0.0625,0.169520127403644
5,512,0.3,0.0625,0.169520127403644
1,128,0.7,0.25,0.169246954457002
2,128,0.7,0.25,0.169246954457002
3,128,0.7,0.25,0.169246954457002
4,128,0.7,0.25,0.169246954457002
5,128,0.7,0.25,0.169246954457002
1,4096,0.7,0.25,0.168635250339341
2,4096,0.7,0.25,0.168635250339341
3,4096,0.7,0.25,0.168635250339341
4,4096,0.7,0.25,0.168635250339341
5,4096,0.7,0.25,0.168635250339341
1,64,0.9,0.25,0.168561922600701
2,64,0.9,0.25,0.168561922600701
3,64,0.9,0.25,0.168561922600701
4,64,0.9,0.25,0.168561922600701
