"lag","cost","nu","gamma","corr_pred"
1,0.125,0.3,0.015625,0.564864780376723
2,0.125,0.3,0.015625,0.564864780376723
3,0.125,0.3,0.015625,0.564864780376723
4,0.125,0.3,0.015625,0.564864780376723
5,0.125,0.3,0.015625,0.564864780376723
1,0.0625,0.2,0.03125,0.56381670381711
2,0.0625,0.2,0.03125,0.56381670381711
3,0.0625,0.2,0.03125,0.56381670381711
4,0.0625,0.2,0.03125,0.56381670381711
5,0.0625,0.2,0.03125,0.56381670381711
1,0.03125,0.2,0.03125,0.563802183042071
2,0.03125,0.2,0.03125,0.563802183042071
3,0.03125,0.2,0.03125,0.563802183042071
4,0.03125,0.2,0.03125,0.563802183042071
5,0.03125,0.2,0.03125,0.563802183042071
1,0.0625,0.3,0.03125,0.563776880829461
2,0.0625,0.3,0.03125,0.563776880829461
3,0.0625,0.3,0.03125,0.563776880829461
4,0.0625,0.3,0.03125,0.563776880829461
5,0.0625,0.3,0.03125,0.563776880829461
1,0.125,0.2,0.015625,0.5637411815677
2,0.125,0.2,0.015625,0.5637411815677
3,0.125,0.2,0.015625,0.5637411815677
4,0.125,0.2,0.015625,0.5637411815677
5,0.125,0.2,0.015625,0.5637411815677
1,0.0625,0.1,0.0625,0.563330265862235
2,0.0625,0.1,0.0625,0.563330265862235
3,0.0625,0.1,0.0625,0.563330265862235
4,0.0625,0.1,0.0625,0.563330265862235
5,0.0625,0.1,0.0625,0.563330265862235
1,0.125,0.3,0.03125,0.563126601106615
2,0.125,0.3,0.03125,0.563126601106615
3,0.125,0.3,0.03125,0.563126601106615
4,0.125,0.3,0.03125,0.563126601106615
5,0.125,0.3,0.03125,0.563126601106615
1,0.0625,0.3,0.015625,0.563051077017392
2,0.0625,0.3,0.015625,0.563051077017392
3,0.0625,0.3,0.015625,0.563051077017392
4,0.0625,0.3,0.015625,0.563051077017392
5,0.0625,0.3,0.015625,0.563051077017392
1,0.0625,0.2,0.015625,0.563002593969133
2,0.0625,0.2,0.015625,0.563002593969133
3,0.0625,0.2,0.015625,0.563002593969133
4,0.0625,0.2,0.015625,0.563002593969133
5,0.0625,0.2,0.015625,0.563002593969133
1,0.125,0.1,0.0625,0.562517294006005
2,0.125,0.1,0.0625,0.562517294006005
3,0.125,0.1,0.0625,0.562517294006005
4,0.125,0.1,0.0625,0.562517294006005
5,0.125,0.1,0.0625,0.562517294006005
1,0.03125,0.3,0.03125,0.562395526034035
2,0.03125,0.3,0.03125,0.562395526034035
3,0.03125,0.3,0.03125,0.562395526034035
4,0.03125,0.3,0.03125,0.562395526034035
5,0.03125,0.3,0.03125,0.562395526034035
1,0.0625,0.1,0.03125,0.562268755849504
2,0.0625,0.1,0.03125,0.562268755849504
3,0.0625,0.1,0.03125,0.562268755849504
4,0.0625,0.1,0.03125,0.562268755849504
5,0.0625,0.1,0.03125,0.562268755849504
1,0.03125,0.2,0.015625,0.56211743665404
2,0.03125,0.2,0.015625,0.56211743665404
3,0.03125,0.2,0.015625,0.56211743665404
4,0.03125,0.2,0.015625,0.56211743665404
5,0.03125,0.2,0.015625,0.56211743665404
1,0.125,0.1,0.03125,0.562005389769523
2,0.125,0.1,0.03125,0.562005389769523
3,0.125,0.1,0.03125,0.562005389769523
4,0.125,0.1,0.03125,0.562005389769523
5,0.125,0.1,0.03125,0.562005389769523
1,0.03125,0.1,0.0625,0.561243875368595
2,0.03125,0.1,0.0625,0.561243875368595
3,0.03125,0.1,0.0625,0.561243875368595
4,0.03125,0.1,0.0625,0.561243875368595
5,0.03125,0.1,0.0625,0.561243875368595
1,0.125,0.3,0.0078125,0.560929678947752
2,0.125,0.3,0.0078125,0.560929678947752
3,0.125,0.3,0.0078125,0.560929678947752
4,0.125,0.3,0.0078125,0.560929678947752
5,0.125,0.3,0.0078125,0.560929678947752
1,0.03125,0.3,0.0625,0.56078445302511
2,0.03125,0.3,0.0625,0.56078445302511
3,0.03125,0.3,0.0625,0.56078445302511
4,0.03125,0.3,0.0625,0.56078445302511
5,0.03125,0.3,0.0625,0.56078445302511
1,0.03125,0.1,0.03125,0.560781966291107
2,0.03125,0.1,0.03125,0.560781966291107
3,0.03125,0.1,0.03125,0.560781966291107
4,0.03125,0.1,0.03125,0.560781966291107
5,0.03125,0.1,0.03125,0.560781966291107
1,0.125,0.2,0.0078125,0.560627218429258
2,0.125,0.2,0.0078125,0.560627218429258
3,0.125,0.2,0.0078125,0.560627218429258
4,0.125,0.2,0.0078125,0.560627218429258
5,0.125,0.2,0.0078125,0.560627218429258
1,0.03125,0.3,0.015625,0.560552862257667
2,0.03125,0.3,0.015625,0.560552862257667
3,0.03125,0.3,0.015625,0.560552862257667
4,0.03125,0.3,0.015625,0.560552862257667
5,0.03125,0.3,0.015625,0.560552862257667
1,0.125,0.2,0.03125,0.560471927050911
2,0.125,0.2,0.03125,0.560471927050911
3,0.125,0.2,0.03125,0.560471927050911
4,0.125,0.2,0.03125,0.560471927050911
5,0.125,0.2,0.03125,0.560471927050911
1,0.125,0.1,0.015625,0.560380260241935
2,0.125,0.1,0.015625,0.560380260241935
3,0.125,0.1,0.015625,0.560380260241935
4,0.125,0.1,0.015625,0.560380260241935
5,0.125,0.1,0.015625,0.560380260241935
1,0.0625,0.2,0.0078125,0.559968334083991
2,0.0625,0.2,0.0078125,0.559968334083991
3,0.0625,0.2,0.0078125,0.559968334083991
4,0.0625,0.2,0.0078125,0.559968334083991
5,0.0625,0.2,0.0078125,0.559968334083991
1,0.0625,0.3,0.0078125,0.559560581563312
2,0.0625,0.3,0.0078125,0.559560581563312
3,0.0625,0.3,0.0078125,0.559560581563312
4,0.0625,0.3,0.0078125,0.559560581563312
5,0.0625,0.3,0.0078125,0.559560581563312
1,0.03125,0.1,0.015625,0.559553367461484
2,0.03125,0.1,0.015625,0.559553367461484
3,0.03125,0.1,0.015625,0.559553367461484
4,0.03125,0.1,0.015625,0.559553367461484
5,0.03125,0.1,0.015625,0.559553367461484
1,0.0625,0.1,0.015625,0.559553367461484
2,0.0625,0.1,0.015625,0.559553367461484
3,0.0625,0.1,0.015625,0.559553367461484
4,0.0625,0.1,0.015625,0.559553367461484
5,0.0625,0.1,0.015625,0.559553367461484
1,0.03125,0.2,0.0078125,0.559462164443909
2,0.03125,0.2,0.0078125,0.559462164443909
3,0.03125,0.2,0.0078125,0.559462164443909
4,0.03125,0.2,0.0078125,0.559462164443909
5,0.03125,0.2,0.0078125,0.559462164443909
1,0.125,0.2,0.00390625,0.558463123737695
2,0.125,0.2,0.00390625,0.558463123737695
3,0.125,0.2,0.00390625,0.558463123737695
4,0.125,0.2,0.00390625,0.558463123737695
5,0.125,0.2,0.00390625,0.558463123737695
1,0.125,0.3,0.00390625,0.558459520914261
2,0.125,0.3,0.00390625,0.558459520914261
3,0.125,0.3,0.00390625,0.558459520914261
4,0.125,0.3,0.00390625,0.558459520914261
5,0.125,0.3,0.00390625,0.558459520914261
1,0.125,0.1,0.0078125,0.558344588658359
2,0.125,0.1,0.0078125,0.558344588658359
3,0.125,0.1,0.0078125,0.558344588658359
4,0.125,0.1,0.0078125,0.558344588658359
5,0.125,0.1,0.0078125,0.558344588658359
1,0.03125,0.1,0.0078125,0.558344588658359
2,0.03125,0.1,0.0078125,0.558344588658359
3,0.03125,0.1,0.0078125,0.558344588658359
4,0.03125,0.1,0.0078125,0.558344588658359
5,0.03125,0.1,0.0078125,0.558344588658359
1,0.0625,0.1,0.0078125,0.558344588658359
2,0.0625,0.1,0.0078125,0.558344588658359
3,0.0625,0.1,0.0078125,0.558344588658359
4,0.0625,0.1,0.0078125,0.558344588658359
5,0.0625,0.1,0.0078125,0.558344588658359
1,0.0625,0.2,0.00390625,0.558183120059709
2,0.0625,0.2,0.00390625,0.558183120059709
3,0.0625,0.2,0.00390625,0.558183120059709
4,0.0625,0.2,0.00390625,0.558183120059709
5,0.0625,0.2,0.00390625,0.558183120059709
1,0.03125,0.2,0.00390625,0.558022643544463
2,0.03125,0.2,0.00390625,0.558022643544463
