"lag","cost","nu","gamma","corr_pred"
1,2048,0.8,0.015625,0.677094104144459
2,2048,0.8,0.015625,0.677094104144459
3,2048,0.8,0.015625,0.677094104144459
4,2048,0.8,0.015625,0.677094104144459
5,2048,0.8,0.015625,0.677094104144459
1,1024,0.8,0.03125,0.677092160471328
2,1024,0.8,0.03125,0.677092160471328
3,1024,0.8,0.03125,0.677092160471328
4,1024,0.8,0.03125,0.677092160471328
5,1024,0.8,0.03125,0.677092160471328
1,64,0.8,0.015625,0.677057402762313
2,64,0.8,0.015625,0.677057402762313
3,64,0.8,0.015625,0.677057402762313
4,64,0.8,0.015625,0.677057402762313
5,64,0.8,0.015625,0.677057402762313
1,2048,0.8,0.03125,0.677046230234973
2,2048,0.8,0.03125,0.677046230234973
3,2048,0.8,0.03125,0.677046230234973
4,2048,0.8,0.03125,0.677046230234973
5,2048,0.8,0.03125,0.677046230234973
1,8,0.8,0.25,0.676911532237314
2,8,0.8,0.25,0.676911532237314
3,8,0.8,0.25,0.676911532237314
4,8,0.8,0.25,0.676911532237314
5,8,0.8,0.25,0.676911532237314
1,32,0.9,0.03125,0.676898471950155
2,32,0.9,0.03125,0.676898471950155
3,32,0.9,0.03125,0.676898471950155
4,32,0.9,0.03125,0.676898471950155
5,32,0.9,0.03125,0.676898471950155
1,128,0.8,0.015625,0.676894252832789
2,128,0.8,0.015625,0.676894252832789
3,128,0.8,0.015625,0.676894252832789
4,128,0.8,0.015625,0.676894252832789
5,128,0.8,0.015625,0.676894252832789
1,16,0.8,0.125,0.676863374552824
2,16,0.8,0.125,0.676863374552824
3,16,0.8,0.125,0.676863374552824
4,16,0.8,0.125,0.676863374552824
5,16,0.8,0.125,0.676863374552824
1,128,0.8,0.0625,0.676838806414695
2,128,0.8,0.0625,0.676838806414695
3,128,0.8,0.0625,0.676838806414695
4,128,0.8,0.0625,0.676838806414695
5,128,0.8,0.0625,0.676838806414695
1,16,0.7,0.0625,0.676774042339929
2,16,0.7,0.0625,0.676774042339929
3,16,0.7,0.0625,0.676774042339929
4,16,0.7,0.0625,0.676774042339929
5,16,0.7,0.0625,0.676774042339929
1,512,0.7,0.03125,0.676720749905177
2,512,0.7,0.03125,0.676720749905177
3,512,0.7,0.03125,0.676720749905177
4,512,0.7,0.03125,0.676720749905177
5,512,0.7,0.03125,0.676720749905177
1,1024,0.8,0.015625,0.676720287830542
2,1024,0.8,0.015625,0.676720287830542
3,1024,0.8,0.015625,0.676720287830542
4,1024,0.8,0.015625,0.676720287830542
5,1024,0.8,0.015625,0.676720287830542
1,4096,0.8,0.125,0.676690902404028
2,4096,0.8,0.125,0.676690902404028
3,4096,0.8,0.125,0.676690902404028
4,4096,0.8,0.125,0.676690902404028
5,4096,0.8,0.125,0.676690902404028
1,64,0.8,0.0625,0.676685005631882
2,64,0.8,0.0625,0.676685005631882
3,64,0.8,0.0625,0.676685005631882
4,64,0.8,0.0625,0.676685005631882
5,64,0.8,0.0625,0.676685005631882
1,64,0.6,0.03125,0.676561961055485
2,64,0.6,0.03125,0.676561961055485
3,64,0.6,0.03125,0.676561961055485
4,64,0.6,0.03125,0.676561961055485
5,64,0.6,0.03125,0.676561961055485
1,512,0.8,0.015625,0.676559329089098
2,512,0.8,0.015625,0.676559329089098
3,512,0.8,0.015625,0.676559329089098
4,512,0.8,0.015625,0.676559329089098
5,512,0.8,0.015625,0.676559329089098
1,256,0.8,0.0625,0.676542077630833
2,256,0.8,0.0625,0.676542077630833
3,256,0.8,0.0625,0.676542077630833
4,256,0.8,0.0625,0.676542077630833
5,256,0.8,0.0625,0.676542077630833
1,512,0.8,0.0625,0.676468078936008
2,512,0.8,0.0625,0.676468078936008
3,512,0.8,0.0625,0.676468078936008
4,512,0.8,0.0625,0.676468078936008
5,512,0.8,0.0625,0.676468078936008
1,2048,0.8,0.0625,0.67646488468159
2,2048,0.8,0.0625,0.67646488468159
3,2048,0.8,0.0625,0.67646488468159
4,2048,0.8,0.0625,0.67646488468159
5,2048,0.8,0.0625,0.67646488468159
1,128,0.6,0.015625,0.67646090499409
2,128,0.6,0.015625,0.67646090499409
3,128,0.6,0.015625,0.67646090499409
4,128,0.6,0.015625,0.67646090499409
5,128,0.6,0.015625,0.67646090499409
1,1024,0.7,0.03125,0.676438268877003
2,1024,0.7,0.03125,0.676438268877003
3,1024,0.7,0.03125,0.676438268877003
4,1024,0.7,0.03125,0.676438268877003
5,1024,0.7,0.03125,0.676438268877003
1,512,0.6,0.015625,0.676430797851409
2,512,0.6,0.015625,0.676430797851409
3,512,0.6,0.015625,0.676430797851409
4,512,0.6,0.015625,0.676430797851409
5,512,0.6,0.015625,0.676430797851409
1,256,0.6,0.015625,0.676387793391301
2,256,0.6,0.015625,0.676387793391301
3,256,0.6,0.015625,0.676387793391301
4,256,0.6,0.015625,0.676387793391301
5,256,0.6,0.015625,0.676387793391301
1,128,0.9,0.03125,0.676320978720972
2,128,0.9,0.03125,0.676320978720972
3,128,0.9,0.03125,0.676320978720972
4,128,0.9,0.03125,0.676320978720972
5,128,0.9,0.03125,0.676320978720972
1,2048,0.7,0.03125,0.676304262121531
